Name,Bio,Image,Instagram,Mixcloud,Soundcloud,Schedule,Active
Juan Groove,"Juan began spinning vinyl at 16 and has continued to do so for 25 plus years. His journey expanded during residencies in Spain and Andorra in the early 2000’s, deepening his connection to music and people. Since then, he has mastered blending vinyl and digital formats, creating unforgettable sets that take listeners on soul-stirring journeys. His soulful, deep, and sexy disco beats keep dance floors alive all night. But he doesn’t stop there. Juan’s sets span House, Drum and Bass, Disco, UK Garage, French Touche, and beyond. Ensuring every performance is unique. Influenced by his father’s love of jazz and disco, his creativity shines through diverse selections shaped by iconic labels such as Defected, Yellow Productions, Soulfuric, Roulé and Blue Note. Juan takes inspiration from his artists including Moodymann, Louie Vega, DJ Gregory and Jimpster. Check out Juan's VinylGateway Instagram account for regular posts from his collection.",https://res.cloudinary.com/db5yf8okw/image/upload/Juan_Groove_Logo_y3ahlh.png,https://www.instagram.com/vinylgateway,,https://soundcloud.com/juannationunderagroove?fbclid=PAZXh0bgNhZW0CMTEAAaZdDVguS21VslRhC_pJgeMOPRXQRYoszctqU8OzfGn3uEjfQqwHv0EE5M0_aem_vQKuEFODzsdAH6l59YE1Vw,Rhythm Rotation fri 7pm,true
DJ GoodVibes,"Vinyl DJ since 1993 and collector at heart, influenced by the house styles of Chicago, New York and England.Co-founder of the Minimal Records store in Nancy from 1996 to 2001. Resident DJ at GotMilk parties in Strasbourg from 1993 to 1997 and member of the B-product team.",https://res.cloudinary.com/db5yf8okw/image/upload/DJ_Good_Vibes_qcmpu4.png,https://www.instagram.com/djgoodvibes/?hl=en,,https://soundcloud.com/djgoodvibes67,sun 9pm,true
Fuse,"Hailing from the Bay Area and heavily influenced by the 90’s boom bap hip hop sound, Fuse started spinning in 2000. Initially playing Drum & Bass, he founded Deadline Sound System, an all D&B crew responsible for bringing a slew of talent from across the US and UK.Throughout the years, inspired by his older brother, an already-established house DJ, Fuse began exploring Downtempo and House music, gradually carving out his own distinct sound. As a passionate digger, he strives to play tracks that aren’t currently sitting in everybody’s playlists, covering a variety of genres and taking the audience on a journey through tunes they forgot they loved or never knew existed.Artists he draws inspiration from include DJ Steef, Aroop Roy, Dam Swindle, Tuccillo, and Jkriv.",https://res.cloudinary.com/db5yf8okw/image/upload/fuse_xt1svg.png,https://www.instagram.com/fuse.music.ca/,,,Rhythm Rotation fri 7pm,true
Sounds of Harris,"Sounds of Harris is the pseudonym of Marley Harris, a young DJ who grew out of Southampton’s thriving vinyl scene and is now residing in Brighton.You can catch him playing bars and clubs across the South coast playing an uplifting mix of disco, soul, house and garage guaranteed to bring good times and stir the soul.",https://res.cloudinary.com/db5yf8okw/image/upload/marleyharris_asnxw0.png,https://www.instagram.com/soundsofharris/,,https://soundcloud.com/marley-harris-128069212,Rhythm Rotation fri 7pm,true
Flavio,"Flávio is a Manchester based, multi genre dj, coming with an hour of groovy old school disco, boogie and deep house to get you in the right mood for new years. His usual sets can include everything from disco & boogie, through to hip-hop, electro, techno, tech house, deep house and uk garage (to name a few).You can find him on Instagram or TikTok @flavio90z",https://res.cloudinary.com/db5yf8okw/image/upload/flavio_mgwdjt.png,https://www.instagram.com/flavio90z/,,,Rhythm Rotation fri 7pm,true
Alan Tonkinson,"Alan's signature sound is anchored by a wonky deviant disco bassline, then seamlessly segues through Balearic rhythms, late night NYC boogie and classic Detroit house music. He's equally adept traversing hip hop, funk and soul. This ecelcticism is evidenced by his varied range of influences - from David Mancuso and Moodymann to The Unabombers and Bill Brewster; The Avalanches and Jim Sharp to Nicolas Jaar and Aaron Frazer.Today, Alan can be found alongside Matt Law at their Recommended By Celebrities residency at Strange Brew in Chorlton. This vinyl only night has a free and fluid range of musical influences, drawing from their diverse record collections.",https://res.cloudinary.com/db5yf8okw/image/upload/Alan_T_jdqgqf.png,https://www.instagram.com/recommended_by_celebrities/,https://www.mixcloud.com/RecommendedByCelebrities/,,Rhythm Rotation fri 7pm,true
Riggo,"With over a decade of vinyl collecting, Riggo has emerged onto the scene as a dynamic DJ specialising in underground sounds.Digging through record shops across Europe, Riggo showcases a diverse array of hidden gems. With regular gigs in and around Chester, his soul, disco and house DJ sets are a reflection of his deep passion for music, blending genres to craft his unique identity.Riggo invites listeners on a journey through timeless grooves, sharing his carefully curated discoveries with every set.",https://res.cloudinary.com/db5yf8okw/image/upload/Riggo_z6avwq.png,https://www.instagram.com/riggo___/,https://www.mixcloud.com/Riggo_/,https://on.soundcloud.com/WDUeTRMmwRG42FGa9,Rhythm Rotation fri 7pm,true
Rhythm Rotation,"The Rhythm Rotation show is our guest DJ slot every week on Disc Break Radio. Featuring upcoming and established DJs from around the globe and covering all genres. Keep an eye on our socials for who's on this week.Want to hear your mix on the show? Get in touch here, we're always looking for new DJs & selectors",https://res.cloudinary.com/db5yf8okw/image/upload/Rhythm_rotation_show_image_rchvfq.png,,,,Rhythm Rotation fri 7pm,true
Sparky,"A DJ and vinyl aficionado for over 2 decades Sparky has a deep curiosity and passion for digging for old and new exotic sounds. He loves a cheeky European getaway during the regular school holidays to mooch around the shady record shops tucked down the winding backstreets in search for the next off-kilter Balearic bomb to unleash at his next set.Sparky has been bringing Balearic beats, Weirdo European pop, Chuggy Disco and Juicy rhythms to Liverpool through his Backyard Balearic and Melodies of Love events over the last decade. He has also been championing his digs through broadcasting on some of the finest radio stations such as Svara, Reform, Loose FM, Noods Radio, Brum Radio and Melodic Distraction. He has had the pleasure recently of Djing in venues across the city such as The Kazimier Gardens, The Buyers Club, Subrosa, Metrocola, Mother Espresso for events such as Moments Parties, Poolside Pumpers, Diggers Anthems and Deep Swing. Sparky also played for the whole evening down at Word of Mouth (W.O.M) over on the Santa Eulalia coast of Ibiza last year. Sparky is very much looking forward to finding the perfect venue to continue his Melodies of Love Event after the sad loss of Melodic Distraction and also has a record label with its first release Melodies Of Love 001 set to be unleashed on vinyl come May. Watch this space.",https://res.cloudinary.com/db5yf8okw/image/upload/sparky_zolibi.png,https://www.instagram.com/backyardbalearic/,https://www.mixcloud.com/thebaddsignal/,,Rhythm Rotation fri 7pm,true
imad:re,"A Doctor by day and a DJ by night, imad:re has been making waves in the Manchester music scene since playing her first set at an open decks in September! Since then, she’s played some serious venues such as XLR, Gorilla, The Deaf Institute, The DBA and has even made her London debut. imad:re loves digging for music in her free time to make sure her sets are full of high energy bangers and furious rhythms with some fun throwbacks sprinkled in there too.",https://res.cloudinary.com/db5yf8okw/image/upload/imadre_jgkhnc.png,https://www.instagram.com/imadre_dj,,https://soundcloud.com/imadre,Rhythm Rotation fri 7pm,true
